deity_name,deity_class,parent_1,parent_2,domain,main_powers,primary_mythic_arc,source_variant_note,teaching_measure_demo_only,teaching_label_demo_only,legacy_empty_demo_only
Chaos,Primordial,—,—,origin and separation,Primordial emergence,Theogony opens with Chaos,Primordial origin; not a genealogical claim beyond the selected source.,4,Synthetic teaching record,
Gaia,PRIMORDIAL,—,—,earth and generation,"Earth, lineage",Gaia emerges after Chaos in Hesiod,"Selected source: Hesiod, Theogony.",7,Synthetic teaching record,
Tartarus,Primordial ,—,—,deep underworld,Cosmic depth,Tartarus appears among the first beings,Primordial account summarized from the selected source.,6,Synthetic teaching record,
Eros,Primordial,—,—,desire and generation,Generative force,Eros appears among the first beings,"Hesiod's primordial Eros, not later cultic descriptions.",5,Synthetic teaching record,
Erebus,Primordial,Chaos,—,darkness,Primordial darkness,Born from Chaos,Summary of Hesiod's genealogy.,8,Synthetic teaching record,
Nyx,PRIMORDIAL,Chaos,—,night,Night and lineage,Born from Chaos,Summary of Hesiod's genealogy.,3,Synthetic teaching record,
Aether,Primordial,Erebus,Nyx,upper air,Bright upper air,Child of Erebus and Nyx,Summary of Hesiod's genealogy.,9,Synthetic teaching record,
Hemera,Primordial,Erebus,Nyx,day,Daylight,Child of Erebus and Nyx,Summary of Hesiod's genealogy.,2,Synthetic teaching record,
Ouranos,Primordial ,Gaia,—,sky,Sky and succession,Gaia brings forth Ouranos,Hesiod's Theogony account.,11,Synthetic teaching record,
Pontus,Sea deity,Gaia,—,sea,Sea and lineage,Gaia brings forth Pontus,Hesiod's Theogony account.,10,Synthetic teaching record,
Cronus,TITAN,Ouranos,Gaia,time and succession,Titan rule,Overthrows Ouranos; later overthrown by Zeus,Name and arc summarized from Theogony.,12,Synthetic teaching record,
Rhea,Titan,Ouranos,Gaia,motherhood and mountains,Titan lineage,Mother of the first Olympian generation in Hesiod,Parentage follows Theogony.,8,Synthetic teaching record,
Oceanus,Titan ,Ouranos,Gaia,world-encircling river,Waters and river lineage,Titan associated with the encircling stream,A summary label; not a modern geographic claim.,14,Synthetic teaching record,
